# A list of pairs, left: old-name-of-module, right: new-name-of-module.
acl ansible.posix.acl
java_keystore community.general.java_keystore
jboss community.general.jboss
jenkins_build community.general.jenkins_build
jenkins_job community.general.jenkins_job
jenkins_job_info community.general.jenkins_job_info
jenkins_plugin community.general.jenkins_plugin
jenkins_script community.general.jenkins_script
jira community.general.jira
k8s kubernetes.core.k8s
k8s_cluster_info kubernetes.core.k8s_cluster_info
k8s_cp kubernetes.core.k8s_cp
k8s_drain kubernetes.core.k8s_drain
k8s_exec kubernetes.core.k8s_exec
k8s_info kubernetes.core.k8s_info
k8s_json_patch kubernetes.core.k8s_json_patch
k8s_log kubernetes.core.k8s_log
k8s_rollback kubernetes.core.k8s_rollback
k8s_scale kubernetes.core.k8s_scale
k8s_service kubernetes.core.k8s_service
kernel_blacklist community.general.kernel_blacklist
keycloak_authentication community.general.keycloak_authentication
keycloak_client community.general.keycloak_client
keycloak_client_rolemapping community.general.keycloak_client_rolemapping
keycloak_clientscope community.general.keycloak_clientscope
keycloak_clienttemplate community.general.keycloak_clienttemplate
keycloak_group community.general.keycloak_group
keycloak_identity_provider community.general.keycloak_identity_provider
keycloak_realm community.general.keycloak_realm
keycloak_role community.general.keycloak_role
keycloak_user_federation community.general.keycloak_user_federation
kibana_plugin community.general.kibana_plugin
known_hosts ansible.builtin.known_hosts
launchd community.general.launchd
layman community.general.layman
lbu community.general.lbu
ldap_attrs community.general.ldap_attrs
ldap_entry community.general.ldap_entry
ldap_passwd community.general.ldap_passwd
ldap_search community.general.ldap_search
librato_annotation community.general.librato_annotation
lineinfile ansible.builtin.lineinfile
linode community.general.linode
linode_v4 community.general.linode_v4
listen_ports_facts community.general.listen_ports_facts
lldp community.general.lldp
locale_gen community.general.locale_gen
log_source_management ibm.qradar.log_source_management
logentries community.general.logentries
logentries_msg community.general.logentries_msg
logstash_plugin community.general.logstash_plugin
luks_device community.crypto.luks_device
lvg community.general.lvg
lvol community.general.lvol
lxc_container community.general.lxc_container
lxca_cmms community.general.lxca_cmms
lxca_nodes community.general.lxca_nodes
lxd_container community.general.lxd_container
lxd_profile community.general.lxd_profile
macports community.general.macports
mail community.general.mail
make community.general.make
manageiq_alert_profiles community.general.manageiq_alert_profiles
manageiq_alerts community.general.manageiq_alerts
manageiq_group community.general.manageiq_group
manageiq_policies community.general.manageiq_policies
manageiq_provider community.general.manageiq_provider
manageiq_tags community.general.manageiq_tags
manageiq_tenant community.general.manageiq_tenant
manageiq_user community.general.manageiq_user
mas community.general.mas
matrix community.general.matrix
mattermost community.general.mattermost
maven_artifact community.general.maven_artifact
memset_dns_reload community.general.memset_dns_reload
memset_memstore_info community.general.memset_memstore_info
memset_server_info community.general.memset_server_info
memset_zone community.general.memset_zone
memset_zone_domain community.general.memset_zone_domain
memset_zone_record community.general.memset_zone_record
meta ansible.builtin.meta
mksysb community.general.mksysb
modprobe community.general.modprobe
monit community.general.monit
mount ansible.posix.mount
mqtt community.general.mqtt
mssql_db community.general.mssql_db
mssql_script community.general.mssql_script
mysql_db community.mysql.mysql_db
mysql_info community.mysql.mysql_info
mysql_query community.mysql.mysql_query
mysql_replication community.mysql.mysql_replication
mysql_role community.mysql.mysql_role
mysql_user community.mysql.mysql_user
mysql_variables community.mysql.mysql_variables
nagios community.general.nagios
net_get ansible.netcommon.net_get
net_ping ansible.netcommon.net_ping
net_put ansible.netcommon.net_put
netconf_config ansible.netcommon.netconf_config
netconf_get ansible.netcommon.netconf_get
netconf_rpc ansible.netcommon.netconf_rpc
netcup_dns community.general.netcup_dns
network_resource ansible.netcommon.network_resource
newrelic_deployment community.general.newrelic_deployment
nexmo community.general.nexmo
nginx_status_info community.general.nginx_status_info
nictagadm community.general.nictagadm
nmcli community.general.nmcli
nomad_job community.general.nomad_job
nomad_job_info community.general.nomad_job_info
nosh community.general.nosh
npm community.general.npm
nsupdate community.general.nsupdate
oci_vcn community.general.oci_vcn
odbc community.general.odbc
offense_action ibm.qradar.offense_action
offense_info ibm.qradar.offense_info
offense_note ibm.qradar.offense_note
office_365_connector_card community.general.office_365_connector_card
ohai community.general.ohai
omapi_host community.general.omapi_host
one_host community.general.one_host
one_image community.general.one_image
one_image_info community.general.one_image_info
one_service community.general.one_service
one_template community.general.one_template
one_vm community.general.one_vm
oneandone_firewall_policy community.general.oneandone_firewall_policy
oneandone_load_balancer community.general.oneandone_load_balancer
oneandone_monitoring_policy community.general.oneandone_monitoring_policy
oneandone_private_network community.general.oneandone_private_network
oneandone_public_ip community.general.oneandone_public_ip
oneandone_server community.general.oneandone_server
onepassword_info community.general.onepassword_info
oneview_datacenter_info community.general.oneview_datacenter_info
oneview_enclosure_info community.general.oneview_enclosure_info
oneview_ethernet_network community.general.oneview_ethernet_network
oneview_ethernet_network_info community.general.oneview_ethernet_network_info
oneview_fc_network community.general.oneview_fc_network
oneview_fc_network_info community.general.oneview_fc_network_info
oneview_fcoe_network community.general.oneview_fcoe_network
oneview_fcoe_network_info community.general.oneview_fcoe_network_info
oneview_logical_interconnect_group community.general.oneview_logical_interconnect_group
oneview_logical_interconnect_group_info community.general.oneview_logical_interconnect_group_info
oneview_network_set community.general.oneview_network_set
oneview_network_set_info community.general.oneview_network_set_info
oneview_san_manager community.general.oneview_san_manager
oneview_san_manager_info community.general.oneview_san_manager_info
online_server_info community.general.online_server_info
online_user_info community.general.online_user_info
open_iscsi community.general.open_iscsi
openbsd_pkg community.general.openbsd_pkg
opendj_backendprop community.general.opendj_backendprop
openssh_cert community.crypto.openssh_cert
openssh_keypair community.crypto.openssh_keypair
openssl_certificate community.crypto.openssl_certificate
openssl_csr community.crypto.openssl_csr
openssl_csr_info community.crypto.openssl_csr_info
openssl_csr_pipe community.crypto.openssl_csr_pipe
openssl_dhparam community.crypto.openssl_dhparam
openssl_pkcs12 community.crypto.openssl_pkcs12
